Tissue	State	Treatment	Gene	MutFreq	LossFreq	GainFreq	NoMutLoss	MutLoss	NoMutWT	MutWT	NoMutGain	MutGain
Breast	Primary	Treatment	AKT1	0.0691823899371069	0.125786163522013	0.0440251572327044	21	1	124	10	6	3
Breast	Primary	Treatment	ARID1A	0.0188679245283019	0.283018867924528	0.0188679245283019	43	4	112	1	4	1
Breast	Primary	Treatment	ARID1B	0.0125786163522013	0.251572327044025	0.0566037735849057	41	1	109	3	10	1
Breast	Primary	Treatment	CBFB	0.0440251572327044	0.421383647798742	0.0566037735849057	62	7	83	2	10	1
Breast	Primary	Treatment	CDH1	0.0691823899371069	0.408805031446541	0.0691823899371069	57	10	82	3	12	1
Breast	Primary	Treatment	CDKN1B	0.0125786163522013	0.0943396226415094	0.132075471698113	16	1	122	3	22	1
Breast	Primary	Treatment	ERBB2	0.0188679245283019	0.245283018867925	0.0817610062893082	39	2	106	3	14	1
Breast	Primary	Treatment	ESR1	0.0440251572327044	0.20125786163522	0.0880503144654088	32	2	108	7	15	1
Breast	Primary	Treatment	FOXA1	0.0188679245283019	0.106918238993711	0.0377358490566038	18	1	135	3	6	2
Breast	Primary	Treatment	GATA3	0.125786163522013	0.0251572327044025	0.144654088050314	4	2	116	18	22	3
Breast	Primary	Treatment	GPS2	0.0188679245283019	0.40251572327044	0.0125786163522013	65	1	91	4	3	1
Breast	Primary	Treatment	KMT2C	0.0251572327044025	0.106918238993711	0.144654088050314	18	1	116	5	24	1
Breast	Primary	Treatment	MAP2K4	0.0188679245283019	0.427672955974843	0.00628930817610063	67	3	90	2	2	1
Breast	Primary	Treatment	MAP3K1	0.0566037735849057	0.125786163522013	0.0628930817610063	19	3	125	6	9	3
Breast	Primary	Treatment	NCOR1	0.0188679245283019	0.39622641509434	0.0251572327044025	62	3	92	2	5	1
Breast	Primary	Treatment	NF1	0.0440251572327044	0.213836477987421	0.0943396226415094	31	5	108	4	16	1
Breast	Primary	Treatment	PIK3CA	0.339622641509434	0.0377358490566038	0.119496855345912	4	4	93	43	11	10
Breast	Primary	Treatment	PIK3R1	0.0188679245283019	0.125786163522013	0.0691823899371069	21	1	128	2	10	3
Breast	Primary	Treatment	PTEN	0.050314465408805	0.106918238993711	0.0251572327044025	16	3	133	7	5	1
Breast	Primary	Treatment	RB1	0.0188679245283019	0.314465408805031	0.0125786163522013	49	3	107	2	3	1
Breast	Primary	Treatment	RUNX1	0.0314465408805031	0.10062893081761	0.0943396226415094	16	2	125	5	16	1
Breast	Primary	Treatment	SMAD4	0.0251572327044025	0.20125786163522	0.0251572327044025	30	4	123	2	5	1
Breast	Primary	Treatment	SPEN	0.0125786163522013	0.232704402515723	0.0314465408805031	38	1	116	3	6	1
Breast	Primary	Treatment	TET2	0.0125786163522013	0.119496855345912	0.0440251572327044	20	1	132	3	8	1
Breast	Primary	Treatment	TP53	0.427672955974843	0.389937106918239	0.0125786163522013	30	34	61	36	3	1
Breast	Primary	Non_Treatment	AKT1	0.0438533429187635	0.14018691588785	0.0783608914450036	194	3	1044	45	95	16
Breast	Primary	Non_Treatment	ARID1A	0.0402588066139468	0.241552839683681	0.0215672178289001	325	13	984	43	29	3
Breast	Primary	Non_Treatment	CBFB	0.0474478792235802	0.470884255930985	0.0424155283968368	607	50	661	18	60	1
Breast	Primary	Non_Treatment	CDH1	0.125808770668584	0.460819554277498	0.0510424155283968	513	130	634	47	72	1
Breast	Primary	Non_Treatment	ERBB2	0.0136592379583034	0.175413371675054	0.0726096333572969	244	2	1030	18	101	2
Breast	Primary	Non_Treatment	FOXA1	0.0194104960460101	0.10136592379583	0.0675772825305536	142	1	1130	28	95	1
Breast	Primary	Non_Treatment	GATA3	0.14881380301941	0.0294751976994968	0.11861969805895	38	5	997	190	152	15
Breast	Primary	Non_Treatment	KDM6A	0.0115025161754134	0.233644859813084	0.0265995686556434	324	3	1017	14	37	2
Breast	Primary	Non_Treatment	MAP2K4	0.0316319194823868	0.404744787922358	0.0136592379583034	532	33	798	13	20	1
Breast	Primary	Non_Treatment	MAP3K1	0.0740474478792236	0.132278936017254	0.0560747663551402	180	6	1041	90	70	10
Breast	Primary	Non_Treatment	NCOR1	0.0280373831775701	0.364485981308411	0.0251617541337168	489	20	831	20	35	2
Breast	Primary	Non_Treatment	NF1	0.0194104960460101	0.176851186196981	0.0618260244428469	235	13	1046	15	86	2
Breast	Primary	Non_Treatment	PIK3CA	0.388209920920201	0.0294751976994968	0.111430625449317	26	17	727	470	101	56
Breast	Primary	Non_Treatment	PIK3R1	0.0136592379583034	0.14018691588785	0.0438533429187635	194	3	1120	17	61	2
Breast	Primary	Non_Treatment	PTEN	0.0682961897915169	0.12293314162473	0.0237239396117901	145	28	1122	67	32	3
Breast	Primary	Non_Treatment	RB1	0.0230050323508267	0.291876347951114	0.0115025161754134	391	17	954	17	17	1
Breast	Primary	Non_Treatment	SPEN	0.01509705248023	0.204169662113587	0.0330697340043134	279	7	1048	15	46	2
Breast	Primary	Non_Treatment	TP53	0.345794392523364	0.383896477354421	0.0122214234363767	307	229	591	251	15	4
Breast	Metastasis	Treatment	AKT1	0.0503597122302158	0.163669064748201	0.118705035971223	92	1	379	22	60	8
Breast	Metastasis	Treatment	ARID1A	0.0557553956834532	0.392086330935252	0.00539568345323741	208	12	316	21	4	1
Breast	Metastasis	Treatment	ARID2	0.0161870503597122	0.0827338129496403	0.109712230215827	46	2	443	8	61	2
Breast	Metastasis	Treatment	BRCA1	0.0143884892086331	0.223021582733813	0.116906474820144	120	6	366	3	65	2
Breast	Metastasis	Treatment	BRCA2	0.0179856115107914	0.323741007194245	0.0449640287769784	178	4	346	7	25	2
Breast	Metastasis	Treatment	CBFB	0.0161870503597122	0.431654676258993	0.0647482014388489	235	7	278	4	37	1
Breast	Metastasis	Treatment	CDH1	0.133093525179856	0.419064748201439	0.0755395683453237	184	51	259	24	42	2
Breast	Metastasis	Treatment	CDKN1B	0.0143884892086331	0.140287769784173	0.109712230215827	78	2	413	6	60	3
Breast	Metastasis	Treatment	CDKN2A	0.0107913669064748	0.356115107913669	0.052158273381295	194	6	329	2	30	1
Breast	Metastasis	Treatment	ERBB2	0.0449640287769784	0.215827338129496	0.10431654676259	117	5	358	22	59	1
Breast	Metastasis	Treatment	ERBB3	0.0107913669064748	0.0575539568345324	0.102517985611511	33	1	463	6	57	2
Breast	Metastasis	Treatment	ESR1	0.176258992805755	0.253597122302158	0.133093525179856	105	38	295	48	61	15
Breast	Metastasis	Treatment	FOXA1	0.0377697841726619	0.0845323741007194	0.131294964028777	46	3	421	17	71	4
Breast	Metastasis	Treatment	FOXP1	0.0107913669064748	0.29136690647482	0.026978417266187	161	3	376	5	16	1
Breast	Metastasis	Treatment	GATA3	0.156474820143885	0.0719424460431655	0.129496402877698	36	6	375	71	61	13
Breast	Metastasis	Treatment	KMT2C	0.0719424460431655	0.179856115107914	0.102517985611511	97	5	371	30	51	8
