Tissue	State	Gene	Function	MutFreq	LossFreq	GainFreq	NoMutLoss	MutLoss	NoMutWT	MutWT	NoMutGain	MutGain
Breast	Primary	ARID1A	TSG	0.0380645161290323	0.245806451612903	0.0212903225806452	367	16	1095	43	32	3
Breast	Primary	CBFB	TSG	0.0470967741935484	0.465806451612903	0.0438709677419355	668	56	743	19	69	1
Breast	Primary	CDH1	TSG	0.12	0.455483870967742	0.0529032258064516	569	139	715	49	83	1
Breast	Primary	CDKN1B	TSG	0.0109677419354839	0.0896774193548387	0.100645161290323	140	1	1239	18	157	1
Breast	Primary	KDM6A	TSG	0.0109677419354839	0.231612903225806	0.0290322580645161	357	4	1134	14	45	2
Breast	Primary	MAP2K4	TSG	0.0303225806451613	0.407096774193548	0.0129032258064516	598	35	887	14	21	1
Breast	Primary	MAP3K1	TSG	0.072258064516129	0.131612903225806	0.0567741935483871	198	8	1165	95	78	12
Breast	Primary	NCOR1	TSG	0.0270967741935484	0.367741935483871	0.0251612903225806	550	22	922	21	39	2
Breast	Primary	NF1	TSG	0.0219354838709677	0.180645161290323	0.0651612903225806	265	17	1153	18	101	2
Breast	Primary	PIK3R1	TSG	0.0141935483870968	0.138709677419355	0.0464516129032258	214	3	1247	18	70	4
Breast	Primary	PTEN	TSG	0.0664516129032258	0.121290322580645	0.0238709677419355	160	30	1254	73	36	3
Breast	Primary	RB1	TSG	0.0225806451612903	0.294193548387097	0.0116129032258065	439	19	1060	18	19	1
Breast	Primary	SPEN	TSG	0.0148387096774194	0.207096774193548	0.0329032258064516	316	7	1163	17	51	2
Breast	Primary	TP53	TSG	0.354193548387097	0.384516129032258	0.012258064516129	336	262	651	286	17	4
Breast	Primary	AKT1	OG	0.0464516129032258	0.138709677419355	0.0748387096774194	214	3	1167	54	100	18
Breast	Primary	ERBB2	OG	0.0141935483870968	0.18258064516129	0.0735483870967742	282	3	1135	20	114	2
Breast	Primary	ESR1	OG	0.012258064516129	0.218064516129032	0.087741935483871	334	6	1065	13	135	3
Breast	Primary	PIK3CA	OG	0.383225806451613	0.0303225806451613	0.112258064516129	29	20	819	512	111	65
Breast	Primary	FOXA1	DFG	0.0193548387096774	0.101935483870968	0.0645161290322581	159	1	1264	30	100	2
Breast	Primary	GATA3	DFG	0.146451612903226	0.0290322580645161	0.121290322580645	41	6	1112	207	173	17
Breast	Metastasis	ARID1A	TSG	0.0507177033492823	0.35311004784689	0.0133971291866029	356	15	625	39	14	2
Breast	Metastasis	ARID2	TSG	0.0143540669856459	0.0813397129186603	0.105263157894737	85	2	838	14	110	2
Breast	Metastasis	ATM	TSG	0.0162679425837321	0.45933014354067	0.0344497607655502	471	11	524	7	36	2
Breast	Metastasis	BRCA1	TSG	0.0124401913875598	0.233492822966507	0.111961722488038	239	7	679	7	117	2
Breast	Metastasis	BRCA2	TSG	0.015311004784689	0.311004784688995	0.0373205741626794	320	7	673	10	39	2
