Tissue	State	Gene	Function	MutFreq	LossFreq	GainFreq	NoMutLoss	MutLoss	NoMutWT	MutWT	NoMutGain	MutGain
Breast	Primary_WO_Metastasis	AKT1	OG	0.0454545454545455	0.109427609427609	0.0471380471380471	66	1	480	23	24	6
Breast	Primary_W_Metastasis	AKT1	OG	0.047071129707113	0.156903765690377	0.0920502092050209	149	3	688	32	77	13
Breast	Metastasis	AKT1	OG	0.0497607655502392	0.166507177033493	0.108133971291866	174	2	718	42	104	11
Breast	Primary_WO_Metastasis	ANKRD11	TSG	0.0117845117845118	0.503367003367003	0.0252525252525253	296	5	278	4	16	1
Breast	Primary_WO_Metastasis	ARID1A	TSG	0.0218855218855219	0.213804713804714	0.00673400673400673	126	3	453	12	5	1
Breast	Metastasis	ARID1A	TSG	0.0507177033492823	0.35311004784689	0.0133971291866029	356	15	625	39	14	2
Breast	Primary_W_Metastasis	ARID1A	TSG	0.0481171548117155	0.265690376569038	0.0303347280334728	242	14	643	32	28	3
Breast	Metastasis	ARID2	TSG	0.0143540669856459	0.0813397129186603	0.105263157894737	85	2	838	14	110	2
Breast	Metastasis	ATM	TSG	0.0162679425837321	0.45933014354067	0.0344497607655502	471	11	524	7	36	2
Breast	Metastasis	BRCA1	TSG	0.0124401913875598	0.233492822966507	0.111961722488038	239	7	679	7	117	2
Breast	Primary_WO_Metastasis	BRCA2	TSG	0.0101010101010101	0.173400673400673	0.0185185185185185	102	3	477	5	12	1
Breast	Metastasis	BRCA2	TSG	0.015311004784689	0.311004784688995	0.0373205741626794	320	7	673	10	39	2
Breast	Primary_WO_Metastasis	CBFB	TSG	0.0723905723905724	0.503367003367003	0.0218855218855219	268	33	272	12	14	1
Breast	Primary_W_Metastasis	CBFB	TSG	0.0313807531380753	0.442468619246862	0.0575313807531381	401	24	472	8	56	1
Breast	Metastasis	CBFB	TSG	0.0191387559808612	0.408612440191388	0.0669856459330144	415	14	542	8	71	1
Breast	Primary_W_Metastasis	CDH1	TSG	0.117154811715481	0.432008368200837	0.0679916317991632	327	88	454	26	66	1
Breast	Metastasis	CDH1	TSG	0.136842105263158	0.393301435406699	0.0784688995215311	310	103	513	41	82	2
