Tissue	Subtype	State	Gene	Function	MutFreq	LossFreq	GainFreq	NoMutLoss	MutLoss	NoMutWT	MutWT	NoMutGain	MutGain
Breast	IDC-HR-HER2+	Primary	AKT1	OG	0.0153846153846154	0.107692307692308	0.0923076923076923	8	1	53	1	6	2
Breast	IDC-HR-HER2+	Primary	ARID1A	TSG	0.0153846153846154	0.292307692307692	0.0153846153846154	20	1	45	2	2	1
Breast	IDC-HR-HER2+	Primary	ARID1B	TSG	0.0153846153846154	0.215384615384615	0.0307692307692308	15	1	49	2	3	1
Breast	IDC-HR-HER2+	Primary	BCL6	OG	0.0153846153846154	0.0769230769230769	0.107692307692308	6	1	53	2	8	1
Breast	IDC-HR-HER2+	Primary	BMPR1A	TSG	0.0153846153846154	0.246153846153846	0.0307692307692308	17	1	47	2	3	1
Breast	IDC-HR-HER2+	Primary	CDH1	TSG	0.0153846153846154	0.276923076923077	0.0153846153846154	19	1	46	2	2	1
Breast	IDC-HR-HER2+	Primary	CDK12	TSG	0.0153846153846154	0.507692307692308	0.0461538461538462	33	2	30	1	4	1
Breast	IDC-HR-HER2+	Primary	CDKN2A	TSG	0.0153846153846154	0.4	0.0461538461538462	26	2	37	1	4	1
Breast	IDC-HR-HER2+	Primary	EPHB1	TSG	0.0153846153846154	0.184615384615385	0.0769230769230769	13	1	48	2	6	1
Breast	IDC-HR-HER2+	Primary	ERBB2	OG	0.0153846153846154	0.507692307692308	0.0461538461538462	34	1	30	1	3	2
Breast	IDC-HR-HER2+	Primary	ERBB3	OG	0.0153846153846154	0.138461538461538	0.0307692307692308	10	1	54	2	3	1
Breast	IDC-HR-HER2+	Primary	FOXA1	DFG	0.0153846153846154	0.107692307692308	0.0307692307692308	8	1	56	2	3	1
Breast	IDC-HR-HER2+	Primary	GATA3	DFG	0.0153846153846154	0.0307692307692308	0.2	3	1	50	2	14	1
Breast	IDC-HR-HER2+	Primary	GNAS	OG	0.0153846153846154	0.0461538461538462	0.246153846153846	4	1	46	2	17	1
Breast	IDC-HR-HER2+	Primary	HNF1A	TSG	0.0153846153846154	0.230769230769231	0.0153846153846154	16	1	49	2	2	1
Breast	IDC-HR-HER2+	Primary	HRAS	OG	0.0153846153846154	0.276923076923077	0.0307692307692308	18	2	46	1	3	1
Breast	IDC-HR-HER2+	Primary	KMT2C	TSG	0.0153846153846154	0.123076923076923	0.107692307692308	9	1	50	2	8	1
Breast	IDC-HR-HER2+	Primary	KMT2D	TSG	0.0461538461538462	0.184615384615385	0.0461538461538462	12	2	50	2	3	2
Breast	IDC-HR-HER2+	Primary	KRAS	OG	0.0153846153846154	0.215384615384615	0.0615384615384615	15	1	48	1	4	2
Breast	IDC-HR-HER2+	Primary	MAP3K1	TSG	0.0153846153846154	0.246153846153846	0.0461538461538462	17	1	46	2	4	1
Breast	IDC-HR-HER2+	Primary	MLH1	TSG	0.0153846153846154	0.2	0.0461538461538462	13	2	50	1	4	1
Breast	IDC-HR-HER2+	Primary	NF1	TSG	0.0153846153846154	0.338461538461538	0.0769230769230769	23	1	38	2	6	1
Breast	IDC-HR-HER2+	Primary	PBRM1	TSG	0.0153846153846154	0.307692307692308	0.0153846153846154	21	1	44	2	2	1
Breast	IDC-HR-HER2+	Primary	PTPN11	OG	0.0153846153846154	0.184615384615385	0.0153846153846154	13	1	52	2	2	1
Breast	IDC-HR-HER2+	Primary	RHOA	OG	0.0461538461538462	0.292307692307692	0.0307692307692308	19	2	43	3	3	1
