Tissue	Stage	CNA_type	GeneA	GeneB	MutAFreq	CNAFreq	FreqMutB	NoMutA_WT_NoMutB	NoMutA_WT_MutB	MutA_WT_NoMutB	MutA_WT_MutB	NoMutA_CNA_NoMutB	NoMutA_CNA_MutB	MutA_CNA_NoMutB	MutA_CNA_MutB
Breast	Primary	Loss	CBFB	AKT1	0.0470967741935484	0.465806451612903	0.0464516129032258	721	23	18	2	630	39	50	7
Breast	Primary	Loss	CBFB	ARID1A	0.0470967741935484	0.465806451612903	0.0380645161290323	719	25	19	1	637	32	55	2
Breast	Primary	Loss	CBFB	CDH1	0.0470967741935484	0.465806451612903	0.12	702	42	17	3	533	136	48	9
Breast	Primary	Loss	CBFB	CDKN1B	0.0470967741935484	0.465806451612903	0.0109677419354839	739	5	19	1	659	10	53	4
Breast	Primary	Loss	CBFB	ERBB2	0.0470967741935484	0.465806451612903	0.0141935483870968	735	9	18	2	659	10	53	4
Breast	Primary	Loss	CBFB	ESR1	0.0470967741935484	0.465806451612903	0.012258064516129	737	7	19	1	657	12	56	1
Breast	Primary	Loss	CBFB	FOXA1	0.0470967741935484	0.465806451612903	0.0193548387096774	729	15	19	1	652	17	56	1
Breast	Primary	Loss	CBFB	GATA3	0.0470967741935484	0.465806451612903	0.146451612903226	636	108	17	3	590	79	27	30
Breast	Primary	Loss	CBFB	KDM6A	0.0470967741935484	0.465806451612903	0.0109677419354839	733	11	19	1	661	8	56	1
Breast	Primary	Loss	CBFB	KMT2C	0.0470967741935484	0.465806451612903	0.047741935483871	714	30	17	3	631	38	52	5
Breast	Primary	Loss	CBFB	MAP2K4	0.0470967741935484	0.465806451612903	0.0303225806451613	725	19	18	2	643	26	55	2
Breast	Primary	Loss	CBFB	MAP3K1	0.0470967741935484	0.465806451612903	0.072258064516129	706	38	15	5	604	65	50	7
Breast	Primary	Loss	CBFB	NCOR1	0.0470967741935484	0.465806451612903	0.0270967741935484	731	13	17	3	643	26	54	3
Breast	Primary	Loss	CBFB	NF1	0.0470967741935484	0.465806451612903	0.0219354838709677	724	20	19	1	656	13	54	3
Breast	Primary	Loss	CBFB	PIK3CA	0.0470967741935484	0.465806451612903	0.383225806451613	499	245	6	14	377	292	24	33
Breast	Primary	Loss	CBFB	PIK3R1	0.0470967741935484	0.465806451612903	0.0141935483870968	731	13	19	1	658	11	56	1
