Gene	Function
ABL1	OG
AKT1	OG
ALK	OG
AMER1	TSG
APC	TSG
AR	OG
ARID1A	TSG
ASXL1	TSG
ATM	TSG
ATRX	TSG
AXIN1	TSG
BAP1	TSG
BCL2	OG
BCOR	TSG
BRAF	OG
BRCA1	TSG
BRCA2	TSG
CARD11	OG
CBL	TSG
CDC73	TSG
CDH1	TSG
CDKN2A	TSG
CEBPA	TSG
CIC	TSG
CREBBP	TSG
CTNNB1	OG
DAXX	TSG
DNMT3A	TSG
EGFR	OG
EP300	TSG
ERBB2	OG
EZH2	DFG
FBXW7	TSG
FGFR2	OG
FGFR3	OG
FLT3	OG
FOXL2	DFG
GATA3	DFG
GNA11	OG
GNAQ	OG
GNAS	OG
HNF1A	TSG
HRAS	OG
IDH1	OG
IDH2	OG
JAK1	DFG
JAK2	OG
JAK3	OG
KDM5C	TSG
KDM6A	TSG
KIT	OG
KMT2D	TSG
KRAS	OG
MAP2K1	OG
MAP3K1	TSG
MED12	DFG
MEN1	TSG
MET	OG
MLH1	TSG
MPL	OG
MSH2	TSG
MSH6	TSG
MYD88	OG
NF1	TSG
NF2	TSG
NFE2L2	OG
NOTCH1	DFG
NOTCH2	DFG
NPM1	TSG
NRAS	OG
PAX5	TSG
PBRM1	TSG
PDGFRA	OG
PIK3CA	OG
PIK3R1	TSG
PPP2R1A	TSG
PRDM1	TSG
PTCH1	TSG
PTEN	TSG
PTPN11	OG
RB1	TSG
RET	OG
RNF43	TSG
SETD2	TSG
SF3B1	OG
SMAD2	TSG
SMAD4	TSG
SMARCA4	TSG
SMARCB1	TSG
SMO	OG
SOCS1	TSG
SPOP	TSG
STAG2	TSG
STK11	TSG
TET2	TSG
TNFAIP3	TSG
TP53	TSG
TSC1	TSG
U2AF1	OG
VHL	TSG
WT1	DFG
AKT2	OG
ARID2	TSG
ATR	TSG
B2M	TSG
BARD1	TSG
BCL6	OG
BRD4	OG
BRIP1	TSG
BTK	OG
CALR	OG
CASP8	TSG
CBFB	TSG
CCND1	OG
CCND2	OG
CCND3	OG
CCNE1	OG
CD274	OG
CD79A	OG
CD79B	OG
CDK12	TSG
CDK4	OG
CDK6	OG
CDKN1B	TSG
CDKN2C	TSG
CHEK2	TSG
CRLF2	OG
CSF3R	OG
CTCF	TSG
CXCR4	OG
DDR2	OG
ERBB3	OG
ERBB4	OG
ERG	OG
ESR1	OG
